"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"3507","Leeds and Grenville","United counties","Ontario","35",4.4,"00000","Employment income","Males",39110,41230,29035,29270,36657,35757,-2.5
"3507","Leeds and Grenville","United counties","Ontario","35",4.4,"00000","Employment income","Females",41530,43540,26570,27610,24564,26971,9.8
"3509","Lanark","County","Ontario","35",4.6,"00000","Total income","Both sexes",51415,56880,49250,54895,31972,35805,12.0
"3509","Lanark","County","Ontario","35",4.6,"00000","Total income","Males",24900,27570,24105,26640,40509,42930,6.0
"3509","Lanark","County","Ontario","35",4.6,"00000","Total income","Females",26515,29310,25150,28260,26218,29979,14.3
"3509","Lanark","County","Ontario","35",4.6,"00000","After-tax income","Both sexes",51415,56880,49235,54925,28947,32228,11.3
"3509","Lanark","County","Ontario","35",4.6,"00000","After-tax income","Males",24900,27570,24100,26645,35265,38075,8.0
"3509","Lanark","County","Ontario","35",4.6,"00000","After-tax income","Females",26515,29310,25140,28285,24472,27384,11.9
"3509","Lanark","County","Ontario","35",4.6,"00000","Employment income","Both sexes",51415,56880,35870,38770,30746,32623,6.1
"3509","Lanark","County","Ontario","35",4.6,"00000","Employment income","Males",24900,27570,18590,19930,37229,38829,4.3
"3509","Lanark","County","Ontario","35",4.6,"00000","Employment income","Females",26515,29310,17285,18840,25410,27401,7.8
"3510","Frontenac","County","Ontario","35",4.4,"00000","Total income","Both sexes",116575,124720,111785,120315,32175,35438,10.1
"3510","Frontenac","County","Ontario","35",4.4,"00000","Total income","Males",55350,59565,53015,57390,40116,41072,2.4
"3510","Frontenac","County","Ontario","35",4.4,"00000","Total income","Females",61220,65160,58770,62925,26358,31097,18.0
"3510","Frontenac","County","Ontario","35",4.4,"00000","After-tax income","Both sexes",116575,124720,111810,120355,28967,32039,10.6
"3510","Frontenac","County","Ontario","35",4.4,"00000","After-tax income","Males",55350,59565,53000,57390,35255,36701,4.1
"3510","Frontenac","County","Ontario","35",4.4,"00000","After-tax income","Females",61220,65160,58810,62965,24572,28356,15.4
"3510","Frontenac","County","Ontario","35",4.4,"00000","Employment income","Both sexes",116575,124720,81395,87015,30778,31311,1.7
"3510","Frontenac","County","Ontario","35",4.4,"00000","Employment income","Males",55350,59565,40975,43595,36843,35371,-4.0
"3510","Frontenac","County","Ontario","35",4.4,"00000","Employment income","Females",61220,65160,40420,43425,26788,28128,5.0
"3511","Lennox and Addington","County","Ontario","35",5.6,"00000","Total income","Both sexes",32385,34755,30850,33450,30154,34832,15.5
"3511","Lennox and Addington","County","Ontario","35",5.6,"00000","Total income","Males",15810,17035,15200,16430,39019,41600,6.6
"3511","Lennox and Addington","County","Ontario","35",5.6,"00000","Total income","Females",16575,17720,15650,17020,22568,28597,26.7
"3511","Lennox and Addington","County","Ontario","35",5.6,"00000","After-tax income","Both sexes",32385,34755,30855,33465,27463,31419,14.4
"3511","Lennox and Addington","County","Ontario","35",5.6,"00000","After-tax income","Males",15810,17035,15185,16430,34117,37130,8.8
"3511","Lennox and Addington","County","Ontario","35",5.6,"00000","After-tax income","Females",16575,17720,15670,17035,21483,26389,22.8
"3511","Lennox and Addington","County","Ontario","35",5.6,"00000","Employment income","Both sexes",32385,34755,22190,23880,31160,32593,4.6
"3511","Lennox and Addington","County","Ontario","35",5.6,"00000","Employment income","Males",15810,17035,11655,12430,38284,37568,-1.9
"3511","Lennox and Addington","County","Ontario","35",5.6,"00000","Employment income","Females",16575,17720,10540,11450,23686,27962,18.1
"3512","Hastings","County","Ontario","35",4.4,"00000","Total income","Both sexes",105995,112645,101405,108425,28311,30305,7.0
"3512","Hastings","County","Ontario","35",4.4,"00000","Total income","Males",51495,55050,49515,53105,36890,36757,-0.4
"3512","Hastings","County","Ontario","35",4.4,"00000","Total income","Females",54500,57600,51890,55320,22887,25776,12.6
"3512","Hastings","County","Ontario","35",4.4,"00000","After-tax income","Both sexes",105995,112645,101390,108485,25855,27977,8.2
"3512","Hastings","County","Ontario","35",4.4,"00000","After-tax income","Males",51495,55050,49505,53110,32692,33261,1.7
"3512","Hastings","County","Ontario","35",4.4,"00000","After-tax income","Females",54500,57600,51890,55375,21632,24172,11.7
"3512","Hastings","County","Ontario","35",4.4,"00000","Employment income","Both sexes",105995,112645,70905,73745,27783,28909,4.1
"3512","Hastings","County","Ontario","35",4.4,"00000","Employment income","Males",51495,55050,36765,38425,35611,34684,-2.6
"3512","Hastings","County","Ontario","35",4.4,"00000","Employment income","Females",54500,57600,34135,35320,21934,24578,12.1
"3513","Prince Edward","Census division","Ontario","35",5.0,"00000","Total income","Both sexes",21140,21270,20395,20725,29422,32133,9.2
"3513","Prince Edward","Census division","Ontario","35",5.0,"00000","Total income","Males",10265,10330,9960,10090,37737,37933,0.5
"3513","Prince Edward","Census division","Ontario","35",5.0,"00000","Total income","Females",10880,10940,10435,10640,23598,27524,16.6
"3513","Prince Edward","Census division","Ontario","35",5.0,"00000","After-tax income","Both sexes",21140,21270,20400,20735,26775,29301,9.4
"3513","Prince Edward","Census division","Ontario","35",5.0,"00000","After-tax income","Males",10265,10330,9955,10090,32883,34368,4.5
"3513","Prince Edward","Census division","Ontario","35",5.0,"00000","After-tax income","Females",10880,10940,10445,10645,22349,25249,13.0
"3513","Prince Edward","Census division","Ontario","35",5.0,"00000","Employment income","Both sexes",21140,21270,13905,13590,24930,25674,3.0
"3513","Prince Edward","Census division","Ontario","35",5.0,"00000","Employment income","Males",10265,10330,7185,7010,29584,28789,-2.7
"3513","Prince Edward","Census division","Ontario","35",5.0,"00000","Employment income","Females",10880,10940,6720,6585,21294,22981,7.9
"3514","Northumberland","County","Ontario","35",5.0,"00000","Total income","Both sexes",65430,72040,62700,69570,31098,33927,9.1
"3514","Northumberland","County","Ontario","35",5.0,"00000","Total income","Males",31735,35025,30760,33885,41554,41992,1.1
"3514","Northumberland","County","Ontario","35",5.0,"00000","Total income","Females",33700,37015,31935,35685,23556,27474,16.6
"3514","Northumberland","County","Ontario","35",5.0,"00000","After-tax income","Both sexes",65430,72040,62670,69605,28182,30803,9.3
"3514","Northumberland","County","Ontario","35",5.0,"00000","After-tax income","Males",31735,35025,30750,33890,36385,37293,2.5
"3514","Northumberland","County","Ontario","35",5.0,"00000","After-tax income","Females",33700,37015,31920,35715,21965,25289,15.1
"3514","Northumberland","County","Ontario","35",5.0,"00000","Employment income","Both sexes",65430,72040,44150,47430,30082,29238,-2.8
"3514","Northumberland","County","Ontario","35",5.0,"00000","Employment income","Males",31735,35025,23405,24885,39143,34659,-11.5
"3514","Northumberland","County","Ontario","35",5.0,"00000","Employment income","Females",33700,37015,20740,22550,23228,25031,7.8
"3515","Peterborough","County","Ontario","35",4.6,"00000","Total income","Both sexes",109815,115245,105295,111280,29299,31792,8.5
"3515","Peterborough","County","Ontario","35",4.6,"00000","Total income","Males",52550,55500,50605,53625,37408,37350,-0.2
"3515","Peterborough","County","Ontario","35",4.6,"00000","Total income","Females",57265,59745,54695,57660,23450,27508,17.3
"3515","Peterborough","County","Ontario","35",4.6,"00000","After-tax income","Both sexes",109815,115245,105275,111320,26667,29137,9.3
"3515","Peterborough","County","Ontario","35",4.6,"00000","After-tax income","Males",52550,55500,50560,53625,33080,33726,2.0
"3515","Peterborough","County","Ontario","35",4.6,"00000","After-tax income","Females",57265,59745,54720,57695,22145,25536,15.3
"3515","Peterborough","County","Ontario","35",4.6,"00000","Employment income","Both sexes",109815,115245,73875,77445,28490,28394,-0.3
"3515","Peterborough","County","Ontario","35",4.6,"00000","Employment income","Males",52550,55500,38135,39650,35519,31279,-11.9
"3515","Peterborough","County","Ontario","35",4.6,"00000","Employment income","Females",57265,59745,35740,37795,23419,25871,10.5
"3516","Kawartha Lakes","Census division","Ontario","35",4.7,"00000","Total income","Both sexes",61245,63505,58520,61370,29602,32302,9.1
"3516","Kawartha Lakes","Census division","Ontario","35",4.7,"00000","Total income","Males",29990,31175,28740,30185,39374,39649,0.7
"3516","Kawartha Lakes","Census division","Ontario","35",4.7,"00000","Total income","Females",31250,32330,29780,31180,22896,26592,16.1
"3516","Kawartha Lakes","Census division","Ontario","35",4.7,"00000","After-tax income","Both sexes",61245,63505,58520,61410,26682,29448,10.4
"3516","Kawartha Lakes","Census division","Ontario","35",4.7,"00000","After-tax income","Males",29990,31175,28735,30195,34699,35570,2.5
"3516","Kawartha Lakes","Census division","Ontario","35",4.7,"00000","After-tax income","Females",31250,32330,29785,31220,21748,24685,13.5
"3516","Kawartha Lakes","Census division","Ontario","35",4.7,"00000","Employment income","Both sexes",61245,63505,40830,41955,28140,28318,0.6
"3516","Kawartha Lakes","Census division","Ontario","35",4.7,"00000","Employment income","Males",29990,31175,21725,22160,35955,32283,-10.2
"3516","Kawartha Lakes","Census division","Ontario","35",4.7,"00000","Employment income","Females",31250,32330,19105,19800,22219,25157,13.2
"3518","Durham","Regional municipality","Ontario","35",3.0,"00000","Total income","Both sexes",441145,523480,418210,497400,37844,37755,-0.2
"3518","Durham","Regional municipality","Ontario","35",3.0,"00000","Total income","Males",213495,252970,203840,240370,49061,45591,-7.1
"3518","Durham","Regional municipality","Ontario","35",3.0,"00000","Total income","Females",227655,270515,214370,257030,28931,31227,7.9
"3518","Durham","Regional municipality","Ontario","35",3.0,"00000","After-tax income","Both sexes",441145,523480,418185,497580,33413,33943,1.6
"3518","Durham","Regional municipality","Ontario","35",3.0,"00000","After-tax income","Males",213495,252970,203830,240385,41680,40114,-3.8
"3518","Durham","Regional municipality","Ontario","35",3.0,"00000","After-tax income","Females",227655,270515,214350,257200,26274,28634,9.0
"3518","Durham","Regional municipality","Ontario","35",3.0,"00000","Employment income","Both sexes",441145,523480,333725,385990,40340,37704,-6.5
"3518","Durham","Regional municipality","Ontario","35",3.0,"00000","Employment income","Males",213495,252970,173195,197505,50655,44472,-12.2
"3518","Durham","Regional municipality","Ontario","35",3.0,"00000","Employment income","Females",227655,270515,160525,188480,31661,32281,2.0
"3519","York","Regional municipality","Ontario","35",2.4,"00000","Total income","Both sexes",708895,905545,671460,859845,34118,32994,-3.3
"3519","York","Regional municipality","Ontario","35",2.4,"00000","Total income","Males",343905,437290,327550,414745,42430,39340,-7.3
"3519","York","Regional municipality","Ontario","35",2.4,"00000","Total income","Females",364995,468255,343910,445100,27528,28446,3.3
"3519","York","Regional municipality","Ontario","35",2.4,"00000","After-tax income","Both sexes",708895,905545,671155,860030,30593,30288,-1.0
"3519","York","Regional municipality","Ontario","35",2.4,"00000","After-tax income","Males",343905,437290,327370,414800,37117,35405,-4.6
"3519","York","Regional municipality","Ontario","35",2.4,"00000","After-tax income","Females",364995,468255,343790,445230,25406,26477,4.2
"3519","York","Regional municipality","Ontario","35",2.4,"00000","Employment income","Both sexes",708895,905545,525655,649045,38461,36290,-5.6
"3519","York","Regional municipality","Ontario","35",2.4,"00000","Employment income","Males",343905,437290,269445,328720,47058,42476,-9.7
"3519","York","Regional municipality","Ontario","35",2.4,"00000","Employment income","Females",364995,468255,256210,320325,32030,31343,-2.1
"3520","Toronto","Census division","Ontario","35",3.8,"00000","Total income","Both sexes",2058315,2294785,1946265,2187030,29087,30089,3.4
"3520","Toronto","Census division","Ontario","35",3.8,"00000","Total income","Males",978050,1092665,929155,1041910,34184,33456,-2.1
"3520","Toronto","Census division","Ontario","35",3.8,"00000","Total income","Females",1080270,1202125,1017110,1145115,25053,27576,10.1
"3520","Toronto","Census division","Ontario","35",3.8,"00000","After-tax income","Both sexes",2058315,2294785,1945550,2187340,26717,27958,4.6
"3520","Toronto","Census division","Ontario","35",3.8,"00000","After-tax income","Males",978050,1092665,928775,1042010,30704,30661,-0.1
"3520","Toronto","Census division","Ontario","35",3.8,"00000","After-tax income","Females",1080270,1202125,1016775,1145330,23615,25918,9.8
"3520","Toronto","Census division","Ontario","35",3.8,"00000","Employment income","Both sexes",2058315,2294785,1391560,1578750,33966,33602,-1.1
"3520","Toronto","Census division","Ontario","35",3.8,"00000","Employment income","Males",978050,1092665,707105,791520,38008,37149,-2.3
"3520","Toronto","Census division","Ontario","35",3.8,"00000","Employment income","Females",1080270,1202125,684460,787230,29624,30393,2.6
"3521","Peel","Regional municipality","Ontario","35",2.5,"00000","Total income","Both sexes",907300,1119400,851850,1053150,32987,30715,-6.9
"3521","Peel","Regional municipality","Ontario","35",2.5,"00000","Total income","Males",441625,544800,418230,513515,40427,35812,-11.4
"3521","Peel","Regional municipality","Ontario","35",2.5,"00000","Total income","Females",465680,574605,433620,539640,26697,26687,0.0
"3521","Peel","Regional municipality","Ontario","35",2.5,"00000","After-tax income","Both sexes",907300,1119400,851530,1053320,29766,28405,-4.6
"3521","Peel","Regional municipality","Ontario","35",2.5,"00000","After-tax income","Males",441625,544800,418010,513540,35535,32554,-8.4
"3521","Peel","Regional municipality","Ontario","35",2.5,"00000","After-tax income","Females",465680,574605,433515,539775,24724,25077,1.4
"3521","Peel","Regional municipality","Ontario","35",2.5,"00000","Employment income","Both sexes",907300,1119400,677960,805200,36531,33467,-8.4
"3521","Peel","Regional municipality","Ontario","35",2.5,"00000","Employment income","Males",441625,544800,351655,415995,43066,38017,-11.7
"3521","Peel","Regional municipality","Ontario","35",2.5,"00000","Employment income","Females",465680,574605,326300,389210,30701,29520,-3.8
"3522","Dufferin","County","Ontario","35",3.5,"00000","Total income","Both sexes",42085,49435,40105,47490,35270,37850,7.3
"3522","Dufferin","County","Ontario","35",3.5,"00000","Total income","Males",20915,24405,20080,23465,47544,48077,1.1
"3522","Dufferin","County","Ontario","35",3.5,"00000","Total income","Females",21170,25025,20020,24025,25956,29595,14.0
"3522","Dufferin","County","Ontario","35",3.5,"00000","After-tax income","Both sexes",42085,49435,40110,47495,30966,33928,9.6
"3522","Dufferin","County","Ontario","35",3.5,"00000","After-tax income","Males",20915,24405,20080,23465,40371,41845,3.7
"3522","Dufferin","County","Ontario","35",3.5,"00000","After-tax income","Females",21170,25025,20025,24030,23665,27248,15.1
